name_rus;name_eng;city_rus;city_eng;gmt_offset;country_rus;phone;email;website
Гара-Джебилет;Gara Djebilet;Гара-Джебилет;Gara Djebilet;;Мавритания;;;
Гасуке;Gasuke;Гасуке;Gasuke;-10.0;Папуа - Новая Гвинея;;;
;Great Bend;;Great Bend;-6.0;США;;;
;Sir Seretse Khama International;Габороне;Gaborone;+2.0;Ботсвана;(267) 391-4518;;
Негарбо;Negarbo;Негарбо;Negarbo;-10.0;Папуа - Новая Гвинея;;;
;Galesburg;;Galesburg;-6.0;США;;;
;Galbraith Lake;;Galbraith Lake;-9.0;США;;;
;Auxiliary Airfield;;Grand Bahama;-5.0;Багамские острова;;;
;Les Bases;Мари-Галанте;Marie Galante;-4.0;Гваделупа;;;
Гбангбаток;Gbangbatok;Гбангбаток;Gbangbatok;+0.0;Сьерра-Леоне;;;
;Goulburn Island;;Goulburn Island;-9.5;Австралия;;;
Гарбахари;Garbaharey;Гарбахари;Garbaharey;+3.0;Эфиопия;;;
Сан Джованни Ротондо;San Giovanni Rotondo;Сан Джованни Ротондо;San Giovanni Rotondo;+1.0;Италия;;;
;Baltimore Greenbelt T;Балтимор;Baltimore;-5.0;США;;;
;Gamboola;;Gamboola;-10.0;Австралия;;;
;Muharraq;;Muharraq;+3.0;Бахрейн;;;
;Walter J. Koladza Airport;;Great Barrington;-5.0;США;;;
Порт-Фицрой;Port Fitzroy;Порт-Фицрой;Port Fitzroy;+13.0;Новая Зеландия;;;
;Gorgan;;Gorgan;+3.5;Иран;;;
;Khashm El Girba;;Khashm El Girba;+3.0;Судан;;;
;Gibb River;;Gibb River;-8.0;Австралия;;;
Грейт-Барьер-Айленд;Great Barrier Island;Грейт-Барьер-Айленд;Great Barrier Island;+13.0;Новая Зеландия;;;
;Guacamaya;;Guacamaya;+5.0;Колумбия;;;
;Campbell County;Жилетте;Gillette;-7.0;США;;;
;Gachsaran;;Gachsaran;+0.0;Иран;;;
Гернси;Guernsey;Гернси;Guernsey;+0.0;Гернси;;;
;Grand Central;Йоханнесбург;Johannesburg;+2.0;ЮАР;;;
;Garden City Municipal Airport;;Garden City, KS;-6.0;США;;;
;Owen Roberts International;;Georgetown;-5.0;Каймановы острова;;;
;National Park;;Grand Canyon;-7.0;США;;;
;Gravatai;;Gravatai;-2.0;Бразилия;;;
;Municipal;;Greenville;-6.0;США;;;
Гунда;Gounda;Гунда;Gounda;-1.0;Центральноафриканская Республика;;;
;Donaldson Center;;Greenville;-6.0;США;;;
;Gordon Downs;;Gordon Downs;-8.0;Австралия;;;
;Gode/Iddidole;;Gode/Iddidole;+3.0;Эфиопия;;;
Магдагачи;Magdagachi;Магдагачи;Magdagachi;-2.0;Россия;;;
;Golden Horn Lodge SPB;;Golden Horn Lodge, Alaska;-9.0;США;;;
Гордил;Gordil;Гордил;Gordil;-1.0;Центральноафриканская Республика;;;
Гандаджика;Gandajika;Гандаджика;Gandajika;;Демократическая республика Конго;;;
;Miguel Hidalgo International Airport;Гуадалахара;Guadalajara;-6.0;Мексика;;;
;Municipal;;Gardner;-5.0;США;;;
;Lech Walesa;Гданьск;Gdansk;+1.0;Польша;+48 (58) 348 11 54;airport@airport.gdansk.pl;http://www.airport.gdansk.pl
;Vare Maria;;Guasdualito;-4.0;Венесуэла;;;
Гуадалупе;Guadalupe;Гуадалупе;Guadalupe;+3.0;Бразилия;;;
Гондэр;Gondar;Гондэр;Gondar;+3.0;Эфиопия;;;
;Grand Turk Is;;Grand Turk Is;+5.0;Теркс и Кайкос;;;
;Dawson Community;;Glendive;-7.0;США;;;
;Gladwin;;Gladwin;-5.0;США;;;
Сокол;Sokol;Магадан;Magadan;+11.0;Россия;;;
Геленджик;Gelendzik;Геленджик;Gelendzik;+3.0;Россия;;;
;Magenta;;Noumea;+11.0;Новая Каледония;;;
Гебе;Gebe;Гебе;Gebe;-9.0;Индонезия;;;
Геситкале;Gecitkale;Геситкале;Gecitkale;+2.0;Кипр;;;
;Sussex County;;Georgetown;-5.0;США;;;
;George Town;;George Town;+11.0;Австралия;;;
;Geva Airstrip;Жева-Эйрстрип;Geva;;Центральноафриканская Республика;;;
;Spokane International;Спокане;Spokane;+0.0;США;;;
;Green Islands;;Green Islands;-10.0;Папуа - Новая Гвинея;;;
;Ganes Creek;;Ganes Creek;-9.0;США;;;
;Sepe Tiaraju;;Santo Angelo;+3.0;Бразилия;;;
;Oslo - Gardermoen Airport;Осло;Oslo;+1.0;Норвегия;+ 47 64 81 20 00;- firmapost@osl.no;http://www.osl.no
;Rafael Cabrera;Нуэва-Герона;Nueva Gerona;-5.0;Куба;;;
;General Santos International;Женерал-Сантос;General Santos;+8.0;Филиппины;;;
;Geraldton;;Geraldton;;Австралия;;;
Галливаре;Gallivare;Галливаре;Gallivare;+1.0;Швеция;;;
;Gewoia;;Gewoia;-10.0;Папуа - Новая Гвинея;;;
Гелонг;Geelong;Гелонг;Geelong;+11.0;Австралия;;;
;South Big Horn County;;Greybull;-7.0;США;;;
;Malmstrom AFB;;Great Falls;-7.0;США;;;
;Togiak Fish;;Togiak Fish;+0.0;США;;;
;Pope Field;;Greenfield;-4.0;Гайана;;;
;Grenfell;;Grenfell;-10.0;Австралия;;;
;Griffith;;Griffith;-10.0;Австралия;;;
;Grand Forks;;Grand Forks;-6.0;США;;;
;Warren County;;Glens Falls;-5.0;США;;;
;Grafton;;Grafton;+10.0;Австралия;;;
Бартика;Bartica;Бартика;Bartica;-4.0;Гайана;;;
Гранвиль;Granville;Гранвиль;Granville;+1.0;Франция;;;
Грутфонтейн;Grootfontein;Грутфонтейн;Grootfontein;+2.0;Намибия;;;
Лумбала;Lumbala;Лумбала;Lumbala;-1.0;Ангола;;;
;Gregory Downs;;Gregory Downs;-10.0;Австралия;;;
;Georgetown;;Georgetown;-5.0;США;;;
;Kilgore;;Kilgore;-6.0;США;;;
Жилгал;Gilgal;Жилгал;Gilgal;-5.0;Колумбия;;;
;Gagnoa;;Gagnoa;+0.0;Кот д'Ивуар;;;
;Guiglo;;Guiglo;+0.0;Кот д'Ивуар;;;
;Garoe;;Garoe;;Эфиопия;;;
;Gobernador Gregores;;Gobernador Gregores;-3.0;Аргентина;;;
;Exuma International;;George Town;-5.0;Багамские острова;;;
;International;;Glasgow;-6.0;США;;;
;Noumerate;;Ghardaia;+1.0;Алжир;;;
;Governors Harbour;;Governors Harbour;-5.0;Багамские острова;;;
;Great Harbour;;Great Harbour;-5.0;Багамские острова;;;
Гимби;Ghimbi;Гимби;Ghimbi;+0.0;Эфиопия;;;
Гарахин;Garachine;Гарахин;Garachine;+5.0;Панама;;;
;Giebelstadt;;Giebelstadt;+1.0;Германия;;;
Гуш-Катиф;Gush Katif;Гуш-Катиф;Gush Katif;+2.0;Израиль;;;
;Municipal;;Centerville;-6.0;США;;;
Гуанчжань;Guanghan;Гуанчжань;Guanghan;-8.0;Китай;;;
Гат;Ghat;Гат;Ghat;+2.0;Ливия;;;
Гуалегуайчу;Gualeguaychu;Гуалегуайчу;Gualeguaychu;-3.0;Аргентина;;;
;North Front;Гибралтар;Gibraltar;+1.0;Гибралтар;;;
;Boigu Island;;Boigu Island;;Папуа - Новая Гвинея;;;
;Gitega;;Gitega;+2.0;Бурунди;;;
;Gilbert Field;;Winter Haven;-5.0;США;;;
;Galeгo–antonio Carlos Jobim International Airport;;Rio De Janeiro;+3.0;Бразилия;+55(21)3398-5050;;
Сигуири;Siguiri;Сигуири;Siguiri;+0.0;Гвинея;;;
Гилгит;Gilgit;Гилгит;Gilgit;+5.0;Пакистан;;;
Миеле-Мимбале;Miele Mimbale;Миеле-Мимбале;Miele Mimbale;-1.0;Габон;;;
;Girardot;;Girardot;-5.0;Колумбия;;;
Гисборн;Gisborne;Гизборн;Gisborne;+13.0;Новая Зеландия;;;
Гейта;Geita;Гейта;Geita;-3.0;Танзания;;;
;Sigiriya Slaf Base;Сигирия;Sigiriya;+5.5;Шри-Ланка;;;
;Giyani;;Giyani;;Египет;;;
;Jazan;;Jazan;+3.0;Саудовская Аравия;;;
;Guanaja;;Guanaja;-6.0;Гондурас;;;
;Jijel;;Jijel;-1.0;Алжир;;;
;Guajara-Mirim;;Guajara-Mirim;-4.0;Бразилия;;;
;Gjogur;;Gjogur;+0.0;Исландия;;;
;Walker Field;Гранд Джанкшн;Grand Junction;-7.0;США;;;
Горока;Goroka;Горока;Goroka;-10.0;Папуа - Новая Гвинея;;;
Гайленкирхен;Geilenkirchen;Гайленкирхен;Geilenkirchen;+1.0;Германия;;;
Горкха;Gorkha;Горкха;Gorkha;+5.75;Непал;;;
;Great Keppel Island;;Great Keppel Island;+10.0;Австралия;;;
;Gulkana;;Gulkana;-9.0;США;;;
Конгобумба;Kongoboumba;Конгобумба;Kongoboumba;-1.0;Габон;;;
Гатлинбург;Gatlinburg;Гатлинбург;Gatlinburg;-5.0;США;;;
;Glasgow International;;Glasgow;+0.0;Великобритания;;;http://www.glasgowairport.com/
Гелади;Geladi;Гелади;Geladi;-3.0;Эфиопия;;;
;Renner Field;;Goodland;-7.0;США;;;
;Municipal;;Gainesville;+1.0;Франция;;;
Голфито;Golfito;Голфито;Golfito;-6.0;Коста-Рика;;;
;Glengyle;;Glengyle;-10.0;Австралия;;;
;Greenville;;Greenville;-6.0;США;;;
;Glen Innes;;Glen Innes;-10.0;Австралия;;;
Галкайо;Galcaio;Галкайо;Galcaio;;Эфиопия;;;
;Klanten Arpt;Гол;Gol;+1.0;Норвегия;;;
Гленормистон;Glenormiston;Гленормистон;Glenormiston;-10.0;Австралия;;;
Гулимим;Goulimime;Гулимим;Goulimime;+0.0;Марокко;;;
;Gloucestershire;Глучестер;Gloucester;+0.0;Великобритания;1452857700;;http://www.gloucestershireairport.co.uk/
Гулгубип;Gulgubip;Гулгубип;Gulgubip;-10.0;Папуа - Новая Гвинея;;;
;Glennallen;;Glennallen;-9.0;США;;;
;Otsego County;;Gaylord;-5.0;США;;;
;Scholes Field;Гелвстон;Galveston;-6.0;США;;;
Гледстоун;Gladstone;Гледстоун;Gladstone;-10.0;Австралия;;;
;Golovin;;Golovin;-9.0;США;;;
;Municipal;;Glasgow;-6.0;США;;;
Галела;Galela;Галела;Galela;-9.0;Индонезия;;;
;Goldsworthy;;Goldsworthy;-8.0;Австралия;;;
;Gilze-Rijen;Бреда;Breda;+1.0;Нидерланды;;;
;Gemena;;Gemena;+1.0;Демократическая республика Конго;;;
Гамбела;Gambela;Гамбела;Gambela;-3.0;Эфиопия;;;
Герима;Guerima;Герима;Guerima;+5.0;Колумбия;;;
Гомель;Gomel;Гомель;Gomel;+2.0;Беларусь;;;
Гасмата-Айленд;Gasmata Island;Гасмата-Айленд;Gasmata Island;-10.0;Папуа - Новая Гвинея;;;
Гамбома;Gamboma;Гамбома;Gamboma;+1.0;Конго;;;
Греймауз;Greymouth;Греймауз;Greymouth;+13.0;Новая Зеландия;;;
;Gambier Is;;Gambier Is;+9.0;Французская Полинезия;;;
Гимараес;Guimaraes;Гимараес;Guimaraes;-3.0;Бразилия;;;
;Granite Mountain;;Granite Mountain;-9.0;США;;;
;Greenville Downtown;;Greenville;-6.0;США;864-242-4777;;http://www.greenvilledowntownairport.com/
Моньюмент Вэлли;Monument Valley;;Monument Valley Gldngs;;Папуа - Новая Гвинея;;;
Райндален;Rheindahlen;Райндален;Rheindahlen;+1.0;Германия;;;
;La Gomera;;San Sebas De La Gomera;+0.0;Испания;+34 922 87 30 00;infogomera@aena.es;
Гродно;Grodna;Гродно;Grodna;+2.0;Беларусь;;;
;Grenoble-isere Airport (St Geoirs);Гренобль;Grenoble;+1.0;Франция;+33 4 76 65 48 48;info@grenoble-airport.com;http://www.grenoble.aeroport.fr
;Point Salines International;;St. Georges;-4.0;Гренада;(+1-473) 444-4101/4555/4150;gaa@caribsurf.com;
Гент;Ghent;Гент;Ghent;+1.0;Бельгия;;;
;Gooding;;Gooding;-7.0;США;;;
Грин-Айленд;Green Island;Грин Айленд;Green Island;+8.0;Тайвань;;;
;Guanambi;;Guanambi;+3.0;Бразилия;;;
Гиннир;Ghinnir;Гиннир;Ghinnir;-3.0;Эфиопия;;;
Хенераль-Рока;General Roca;Хенераль-Рока;General Roca;-3.0;Аргентина;;;
;Binaka;Гунунгситоли;Gunungsitoli;+7.0;Индонезия;;;
Милан;Milan;;Grants;-7.0;США;;;
;Goodnews Bay;;Goodnews Bay;-9.0;США;;;
;Gainesville Regional;;Gainesville;-5.0;США;;;
Ганзи;Ghanzi;Ганзи;Ghanzi;+2.0;Ботсвана;;;
;Cristoforo Colombo;;Genova;+1.0;Италия;;;http://www.aeroportodigenova.com/home/index.php
Гоба;Goba;Гоба;Goba;-3.0;Эфиопия;;;
Гора;Gora;Гора;Gora;-10.0;Папуа - Новая Гвинея;;;
;Gonalia;;Gonalia;-10.0;Папуа - Новая Гвинея;;;
;Goodfellow AFB;;San Angelo;;Италия;;;
;Gobabis;;Gobabis;+1.0;Намибия;;;
;Nuuk;;Nuuk;-3.0;Гренландия;;;
;Dabolim;Гоа;Goa;+5.5;Индия;;;
Стригино;Strigino;Нижний Новгород;Nizhniy Novgorod;+3.0;Россия;+7 (831) 256-7436;info@airportnn.ru;http://www.airportnn.ru
;Guthrie;;Guthrie;-6.0;США;;;http://www.geoport.us
;State;;Gold Beach;-8.0;США;;;
Гома;Goma;Гома;Goma;+2.0;Демократическая республика Конго;;;
;New London;;New London;+5.0;США;;;
;Goondiwindi;;Goondiwindi;+10.0;Австралия;;;
Горахпур;Gorakhpur;Горахпур;Gorakhpur;+5.5;Индия;;;
Голмуд;Golmud;Голмуд;Golmud;-8.0;Китай;;;
Гор;Gore;Гор;Gore;+3.0;Эфиопия;;;
;Gosford;;Gosford;+11.0;Австралия;;;
;Landvetter;Готенбург;Gothenburg;+1.0;Швеция;4631941000;luftfartsverket.got@lfv.se;http://www.landvetter.lfv.se
Гаруа;Garoua;Гаруа;Garoua;+1.0;Камерун;;;
;Nhulunbuy;;Gove;-9.5;Австралия;;;
;Amparai;Гал-Ойя;Gal Oya;+5.5;Шри-Ланка;;;
;Gorna Oriahovitsa;;Gorna Oriahovitsa;+2.0;Болгария;35961860410;;
;Araxos Airport;Патрас;Patras;-2.0;Греция;;;
;Tancredo Thomaz Faria;;Guarapuava;+3.0;Бразилия;;;
Гуапи;Guapi;Гуапи;Guapi;+5.0;Колумбия;;;
Гуапайлз;Guapiles;Гуапайлз;Guapiles;-6.0;Коста-Рика;;;
;Garden Point;;Garden Point;-9.5;Австралия;;;
Хенераль-Пико;General Pico;Хенераль-Пико;General Pico;-3.0;Аргентина;;;
;Baltra;;Galapagos Is;-6.0;Эквадор;;;
;Gulfport-Biloxi International;;Gulfport;-6.0;США;;;
;Grand Rapids;;Grand Rapids;-5.0;США;;;
;RAF Station;;Machrihanish;+0.0;Великобритания;;;
;Galion;;Galion;-5.0;США;;;
Гамарра;Gamarra;Гамарра;Gamarra;+5.0;Колумбия;;;
;Austin-straubel Field;Грин Бэй;Green Bay;-6.0;США;;;http://www.co.brown.wi.us/airport/
Гранд-Цесс;Grand Cess;Гранд-Цесс;Grand Cess;+0.0;Либерия;;;
;Greenwood;;Greenwood;-6.0;США;;;
;Municipal;;Greenville;-6.0;США;;;
;Gray Aaf;Такома;Tacoma;-8.0;США;;;
Гардез;Gardez;Гардез;Gardez;-4.5;Афганистан;;;
Гаруахи;Garuahi;Гаруахи;Garuahi;-10.0;Папуа - Новая Гвинея;;;
;Grand Island;;Grand Island, NE;-6.0;США;;;http://www.flygri.com
Джордж;George;Джордж;George;+2.0;ЮАР;;;
;Gray Aaf;;Fort Hood, TX;-6.0;США;;;
Гараса;Garasa;Гараса;Garasa;-10.0;Папуа - Новая Гвинея;;;
;Devils Track;;Grand Marais;-6.0;США;;;
;Gordon;;Gordon;-7.0;США;;;
;Girona-Costa Brava;Герона;Gerona;+1.0;Испания;;;
;Gurupi;;Gurupi;+3.0;Бразилия;;;
;Eelde;Гронинген;Groningen;+1.0;Нидерланды;-503097039;info@gae.nl;
;Kent County Intl;;Grand Rapids;-5.0;США;;;
;Baccarini;Гроссето;Grosseto;+1.0;Италия;390564000000;info@grossetoairport.com;http://www.grossetoairport.com
Гуджрат;Gujrat;Гуджрат;Gujrat;-5.0;Пакистан;;;
;Guarulhos Intl;Сао Паоло;Sao Paulo;+0.0;Бразилия;(+5511) 6445-2945;infaero@infrearo.gov.br;http://www.infraero.gov.br/usa/aero_prev_home.php?ai=217
Грозный;Groznyj;Грозный;Groznyj;-2.0;Россия;;;
;Graciosa Island;;Graciosa Island;-1.0;Португалия;;;
Гранада;Granada;Гранада;Granada;+1.0;Испания;;;
Гримси;Grimsey;Гримси;Grimsey;+0.0;Исландия;;;
;Thalerhof;Грац;Graz;+1.0;Австрия;+43(0)31629020;info@flughafen-graz.at;http://www.flughafen-graz.at
;Long Pasia;;Long Pasia;-8.0;Малайзия;;;
;Seymour Johnson AFB;;Goldsboro;+0.0;США;;;
;Gascoyne Junction;;Gascoyne Junction;-8.0;Австралия;;;
;Gothenburg City Airport;Готенбург;Gothenburg;+1.0;Швеция;+46 31 92 60 60;info@goteborgairport.se;http://www.goteborgairport.se/eng.asp
;Goshen;;Goshen;-5.0;США;;;
Гуадалканал;Guadalcanal;Гуадалканал;Guadalcanal;+11.0;Соломоновы острова;;;
;Taltheilei Narrows;;Taltheilei Narrows;+0.0;Канада;;;
;Gheshm;;Gheshm;+0.0;Иран;;;
;Mount Gunson;;Mount Gunson;-9.5;Австралия;;;
;Piedmont Triad Intl;;High Point;-5.0;США;;;
;Greenville Spartanbur Int'l Airport;;Greenville;-6.0;США;864-848-6272;;http://www.gspairport.com
;Shark Elowainat;;Shark Elowainat;+2.0;Египет;;;
Гардо;Gardo;Гардо;Gardo;;Эфиопия;;;
;Sabi Sabi;;Sabi Sabi;-2.0;ЮАР;;;
;Gustavus Arpt;;Gustavus;-9.0;США;;;
Гедарев;Gedaref;Гедарев;Gedaref;-2.0;Судан;;;
;Binbrook;Гримсби;Grimsby;+0.0;Великобритания;;;
;Gatokae Aerodrom;;Gatokae;;Соломоновы острова;;;
Гентинг;Genting;Гентинг;Genting;+8.0;Малайзия;;;
;Green Turtle;;Green Turtle;+5.0;Багамские острова;;;
;Alyangula;;Groote Eylandt;-9.5;Австралия;;;
;International;;Great Falls;-7.0;США;;;
;Municipal;;Grantsburg;-6.0;США;;;
Гюттин;Guettin;Гюттин;Guettin;+1.0;Германия;;;
;Sungei Tekai;;Sungei Tekai;-8.0;Малайзия;;;
;Glentanner;Маунт Кук;Mount Cook;+13.0;Новая Зеландия;;;
;Tolotio;Горонтало;Gorontalo;+8.0;Индонезия;;;
;Golden Triangle Reg.;;Columbus;-5.0;США;;;
;Granites;;Granites;-9.5;Австралия;;;
;Georgetown;;Georgetown;-10.0;Австралия;;;
;Holesov;Злин;Zlin;+1.0;Чехия;;;
Геттисберг;Gettysburg;Геттисберг;Gettysburg;-5.0;США;;;
;La Aurora;Гватемала Сити;Guatemala City;-6.0;Гватемала;+502 2361 2144 or + 502 2332 6085;;
Гверреро-Негро;Guerrero Negro;Гверреро-Негро;Guerrero Negro;+7.0;Мексика;;;
;Gunnison;;Gunnison;-7.0;США;;;
Гундам;Goundam;Гундам;Goundam;+0.0;Мали;;;
;Guriaso;;Guriaso;-10.0;Папуа - Новая Гвинея;;;
;Edwards;;Gulf Shores;-6.0;США;;;
Гуари;Guari;Гуари;Guari;-10.0;Папуа - Новая Гвинея;;;
;Gunnedah;;Gunnedah;+11.0;Австралия;;;
Гуйриа;Guiria;Гуйриа;Guiria;-4.0;Венесуэла;;;
;Guaratingueta;;Guaratingueta;-2.0;Бразилия;;;
Гоулбурн;Goulburn;Гоулбурн;Goulburn;+11.0;Австралия;;;
;Gunter AFB;;Montgomery;;Великобритания;;;
Гуалако;Gualaco;Гуалако;Gualaco;+6.0;Гондурас;;;
;Senator Clark;Галлап;Gallup;-7.0;США;;;
Гуанаре;Guanare;Гуанаре;Guanare;-4.0;Венесуэла;;;
;Gurney;;Alotau;-10.0;Папуа - Новая Гвинея;;;
;Grissom Afb;;Peru, Indiana;-5.0;США;;;
;Guetersloh;;Guetersloh;+1.0;Германия;;;
;Grundarfjordur;;Grundarfjordur;+0.0;Исландия;;;
Мугулу;Mougulu;Мугулу;Mougulu;-10.0;Папуа - Новая Гвинея;;;
Атырау;Atyrau International;Атырау;Atyrau;+5.0;Казахстан;;airport.int@mail.online.kz;http://www.atyrauairport.com
Гуна;Guna;Гуна;Guna;-5.5;Индия;;;
;Guymon;;Guymon;-6.0;США;;;
;Guarapari;;Guarapari;-2.0;Бразилия;;;
;Geneve-cointrin;Женева;Geneva;+1.0;Швейцария;+41 22 717 71 11;nfo@gva.ch;http://www.gva.ch
;Municipal;;Gordonsville;-5.0;США;;;
Грин-Ривер;Green River;Грин-Ривер;Green River;-10.0;Папуа - Новая Гвинея;;;
;Lee Gilmer Memorial;;Gainesville;-5.0;США;;;
;Greenvale;;Greenvale;-10.0;Австралия;;;
;Governador Valadares;;Governador Valadares;-3.0;Бразилия;;;
;Majors Field;;Greenville;-6.0;США;;;
;Richards-Gebaur;;Grandview;-6.0;США;;;
;Sandviken;Гавле;Gavle;+1.0;Швеция;;;
;Gwa;;Gwa;-6.5;Мьянма;;;
Гвадар;Gwadar;Гвадар;Gwadar;+5.0;Пакистан;;;
Гверу;Gweru;Гверу;Gweru;+2.0;Зимбабве;;;
Гуалиор;Gwalior;Гвалиор;Gwalior;+5.5;Индия;;;
;Gnarowein;;Gnarowein;-10.0;Папуа - Новая Гвинея;;;
;Leflore;;Greenwood;-6.0;США;;;
;Glenwood Springs;;Glenwood Springs;-7.0;США;;;
;Westerland - Sylt;;Westerland;-1.0;Германия;494651920612;service@flughafen-sylt.de;http://www.flughafen-sylt.de/
;Glendale;;Glendale;+2.0;Зимбабве;;;
;Raf Gatow;Берлин;Berlin;+1.0;Германия;;;
;Carnmore;Голуэй;Galway;+0.0;Ирландия;00 353 91 755569;info@galwayairport.com;http://www.galwayairport.com
Сейюн;Seiyun;Сейюн;Seiyun;-3.0;Йемен;;;
Негаге;Negage;Негаге;Negage;-1.0;Ангола;;;
;NAF;Милденхолл;Mildenhall;+0.0;Великобритания;;;
;Ten. Vidal;Койайке;Coyhaique;-3.0;Чили;;;
Ягуа;Yagoua;Ягуа;Yagoua;-1.0;Камерун;;;
;Weld County;;Greeley;-7.0;США;;;
Гуаярамерин;Guayaramerin;Гуаярамерин;Guayaramerin;-4.0;Бразилия;;;
Гейдар Алиев;Heydar Aliyev;Баку;Baku;+5.0;Азербайджан;(99412) 97-26-25;;http://www.airportbaku.com
;Simon Bolivar;Гуайяквил;Guayaquil;-5.0;Эквадор;593 4 2393798;ccarbo@tagsa.aero;http://www.tagsa.aero
Гисеный;Gisenyi;Гисеный;Gisenyi;+2.0;Руанда;;;
;Argyle;;Argyle;-8.0;Австралия;;;
;Gen Jose M Yanez;;Guaymas;-7.0;Мексика;;;
;Santa Genoveva;;Goiania;-2.0;Бразилия;;;
;Gympie;;Gympie;-10.0;Австралия;;;
;Litchfield;;Goodyear;-7.0;США;;;
;Guang Yuan;;Guang Yuan;+0.0;Китай;;;
;Gary/Chicago International;;Gary (IN);-6.0;США;1+ (219) 949-9722;information@gyymail.com;http://www.garychicagoairport.com
Газни;Ghazni;Газни;Ghazni;-4.5;Афганистан;;;
;Gozo Heliport;Гозо;Gozo;+1.0;Мальта;35621561301;;
Гизо;Gizo;Гизо;Gizo;+11.0;Соломоновы острова;;;
Газиантеп;Gaziantep;Газиантеп;Gaziantep;+2.0;Турция;;;
;Ghazvin;;Ghazvin;+3.5;Иран;;;
Хасвик;Hasvik;Хасвик;Hasvik;+1.0;Норвегия;;;
;Marion County;Гамильтон;Hamilton;-5.0;США;;;
;Hachijo Jima;;Hachijo Jima;+9.0;Япония;;;
Халмстад;Halmstad;Халмстад;Halmstad;+1.0;Швеция;+46 (0) 035-18 26 00;halmstadflygplats@halmstad.se;http://www.halmstadsflygplats.se/
;Havasupai;;Havasupai;-7.0;США;;;
;Half Moon;;Half Moon;-8.0;США;;;
;Prince Said Ibrahim In;;Moroni;+3.0;Коморские острова;;;
;Dr Haines;;Three Rivers;+0.0;Либерия;;;
;Hanover Arpt;Ганновер;Hanover;+1.0;Германия;495119770;webmaster@hannover-airport.de;http://www.hannover-airport.de/
Хайкоу;Haikou;Хайкоу;Haikou;+8.0;Китай;;;
Халали;Halali;Халали;Halali;-2.0;Намибия;;;
Аэропорт Гамбурга;Hamburg Airport;Гамбург;Hamburg;+1.0;Германия;+49 40/50 75 0;;http://www.hamburg-airport.de
;Noibai International;Ханой;Hanoi;+7.0;Вьетнам;;;
Гамильтон;Hamilton;Гамильтон;Hamilton;-5.0;США;;;
Лонг Айленд;Long Island;Лонг Айленд;Long Island;-9.0;Папуа - Новая Гвинея;;;
;Hanimaadhoo;;Hanimaadhoo;+0.0;Мальдивы;;;
;Capital City;;Harrisburg;-5.0;США;;;
Хаиль;Hail;Хаиль;Hail;+3.0;Саудовская Аравия;;;
;Heathlands;;Heathlands;-10.0;Австралия;;;
Хаугезунд;Haugesund;Хаугезунд;Haugesund;+1.0;Норвегия;;;http://www.avinor.no/English/Airports/Haugesund_Airport,_Karmoy/
;Jose Marti Intl;Гавана;Havana;-5.0;Куба;;;
;Haverfordwest;;Haverfordwest;+0.0;Великобритания;1437765283;hwest.airport@pembrokeshire.gov.uk;http://Via Pembrokeshire County Council web page
;Hatbox Field;;Muskogee;-6.0;США;;;
;Haycock;;Haycock;-9.0;США;;;
Хетцфельдтавен;Hatzfeldthaven;Хетцфельдтавен;Hatzfeldthaven;-10.0;Папуа - Новая Гвинея;;;
Хобарт;Hobart;Хобарт;Hobart;+11.0;Австралия;;;
;Industrial Airpark;;Hobbs;;Австралия;;;
;Hanus Bay;;Hanus Bay;+0.0;США;;;
;Habi;;Habi;+3.0;Саудовская Аравия;;;
Борк Эль Араб;Borg El Arab;Александрия;Alexandria;+2.0;Египет;;;
;The Hattiesburg-Bobby L. Chain Mun.;Хаттисберг;Hattiesburg;-6.0;США;;;
;Hobart Bay;;Hobart Bay;-9.0;США;;;
Харбор-Айленд;Harbour Island;Харбор-Айленд;Harbour Island;+0.0;Багамские острова;;;
;Babelegi Heliport;Бабелеги;Babelegi;+2.0;ЮАР;;;
;Flamingo;;Phu-bon;;Камбоджа;;;
;Municipal;;Humboldt;-6.0;США;;;
Хобарт;Hobart;;Hobart, OK;-6.0;США;;;
Хафр-Альбатин;Hafr Albatin;Хафр-Альбатин;Hafr Albatin;+3.0;Саудовская Аравия;;;
Хубли;Hubli;Хубли;Hubli;+5.5;Индия;;;
;Howard County;;Big Spring;-6.0;США;;;
;Shoal Cove;;Shoal Cove;+9.0;США;;;
;Columbia County;;Hudson;;Кыргызстан;;;
;Eil;;Eil;-3.0;Сомали;;;
;Hengchun;;Hengchun;+8.0;Китай;;;
Холлз Крик;Halls Creek;Холлз Крик;Halls Creek;-8.0;Австралия;;;
;Holy Cross;;Holy Cross;-9.0;США;;;
;Randburg Heliport;Йоханнесбург;Johannesburg;;Намибия;;;
;Cheraw;;Cheraw;-5.0;США;;;
;Hidden Falls;;Hidden Falls;-9.0;США;;;
Хайдельберг;Heidelberg;Хайдельберг;Heidelberg;+1.0;Германия;;;
Хайдерабад;Hyderabad;Хидерабад;Hyderabad;+5.0;Пакистан;3012750377;;
;Brewster Field;;Holdrege;-6.0;США;;;
Херингсдорф;Heringsdorf;Херингсдорф;Heringsdorf;+1.0;Германия;;;
;Dillingham Airfield;;Oahu;+0.0;США;;;
Хамадан;Hamadan;Хамадан;Hamadan;+3.5;Иран;;;
;Yampa Valley;;Hayden;+7.0;США;;;
;Havadarya;;Havadarya;+2.0;Румыния;;;
